PRODUCT_FULL_SEGMENTS_NUMBER,PRODUCT_NAME,PRODUCT_PACKAGE_DESCRIPTION,ITEM_NET_WEIGHT,COMPANY_COUNTRY,STATE,ONHANDQTY,EXPIREDQTY,BLOCKEDQTY,INTRANSITQTY,ONPOQTY,SOOTHER,POOTHER,SUPPLYOP,Q_SO,Q_SB,N30D_SO,TOTAL_DEMAND,ITEM_GROUP,STOCKINGTYPE,INVENTORYTYPE,VENDOR_NAME,LOCAL_PRODUCTMANAGER_NAME,PRODUCT_PRINCIPAL_NAME,INVENTORY_OWNERSHIP,BUYER_NAME,COO,LEADTIME,SHELFLIFE,MIN_DAYS,MAX_DAYS,IDEAL_PIPELINE,LEADTIMELEVEL,SHELFLIFEDAYS,MOQ,PALLET_SIZE,UNITSPERCONTAINER,H_ADU,FCST_TOTAL,UNITCOST,PERCENTAGE,F_ADU,SOH_DC,INTRANSIT_DC,ONPO_DC,NAT_SOH_DC,NAT_INTRANSIT_DC,NAT_ONPO_DC,ROW_NET_POSITION,NAT_NET_POSITION,NAT_PIPELINE_DC,ROW_PIPELINE_DC,RAW_ORDER_QTY,ORDER_QTY,ORDER_DC,STOCK_STATUS,ORDER_AMOUNT,OVERSTOCK_VALUE
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,VIC,403200.000,0.000,20700.000,249300.000,522000.000,117000.000,0.000,771300.000,343800.000,117000.000,190800.000,460800.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,18000.000,,18000,7641.97,10306.25,1.31,0.75,7747.74,24.74,32.18,67.37,30.83,29.43,57.37,693000.000,766800.000,117.63,124.29,0.00,0.0,0.0,Low Stock,0.0,0.00
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,NSW,166500.000,0.000,900.000,54000.000,54000.000,0.000,0.000,108000.000,175500.000,0.000,65700.000,193500.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,18000.000,,1,2009.08,10306.25,1.28,0.20,2036.89,49.05,26.51,26.51,30.83,29.43,57.37,98100.000,766800.000,117.63,102.07,97628.14,98100.0,48.16,Low Stock,125568.0,0.00
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,WA,48600.000,0.000,0.000,0.000,15300.000,65700.000,0.000,15300.000,22500.000,65700.000,22500.000,88200.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,0.000,,1,514.50,10306.25,1.43,0.05,521.62,50.04,0.00,29.33,30.83,29.43,57.37,-24300.000,766800.000,117.63,79.37,31297.20,31500.0,60.39,Low Stock,45045.0,0.00
438546BMR,MODIFIED STARCH PREPARATION,900 kg big bag,900.0,Australia,NSW,312300.000,11700.000,5400.000,162000.000,324000.000,693900.000,0.000,486000.000,90000.000,423900.000,90000.000,783900.000,N1 - Non hazardous/Non dangerous,S,C,STARCH PRODUCTS CO. LTD ,TANYA HARVEY,STARCH PRODUCTS CO ,61123 - AU Food - Nutrition F&N,"HAN, THIRI",TH,75.00000,365.00000,0,0,0,75,365,18000.000,,1,7222.72,7388.13,1.89,1.00,7388.13,27.77,21.93,43.85,27.77,21.93,43.85,267300.000,267300.000,93.55,93.55,0.00,0.0,0.0,Overstock,0.0,505197.00
5040320VR,SURFACTANT AEO7,20000 KG ISOTANK (BLC),1.0,Australia,NSW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,C,"SHANGHAI BINJIA INDUSTRIAL CO., LTD ","NGUYEN, KEN",IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,60.00000,730.00000,0,0,0,60,730,20000.000,,1,1811.48,3874.80,3.08,1.00,3874.80,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,VIC,87000.000,0.000,0.000,0.000,90000.000,92001.000,0.000,90000.000,8000.000,92001.000,8000.000,100001.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,18000,1734.12,3691.85,3.46,0.52,1904.28,41.49,0.00,47.26,27.63,0.00,102.39,76999.000,296999.000,130.02,88.75,114256.80,115000.0,60.39,Healthy,397900.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,NSW,105000.000,0.000,0.000,0.000,216000.000,20000.000,0.000,216000.000,122000.000,20000.000,86000.000,143000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,1421.54,3691.85,3.79,0.42,1561.03,12.17,0.00,138.37,27.63,0.00,102.39,179000.000,296999.000,130.02,150.54,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,QLD,7000.000,0.000,0.000,0.000,18000.000,0.000,0.000,18000.000,6000.000,0.000,3000.000,6000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,94.02,3691.85,2.81,0.03,103.25,38.74,0.00,174.33,27.63,0.00,102.39,19000.000,296999.000,130.02,213.07,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,SA,0.000,0.000,0.000,0.000,36000.000,32000.000,0.000,36000.000,0.000,32000.000,0.000,32000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,68.06,3691.85,2.43,0.02,74.74,0.00,0.00,481.67,27.63,0.00,102.39,4000.000,296999.000,130.02,481.67,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,WA,0.000,0.000,0.000,0.000,18000.000,0.000,0.000,18000.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,0.000,,1,44.21,3691.85,2.87,0.01,48.55,0.00,0.00,370.75,27.63,0.00,102.39,18000.000,296999.000,130.02,370.75,0.00,0.0,0.0,Healthy,0.0,0.00
