PRODUCT_FULL_SEGMENTS_NUMBER,PRODUCT_NAME,PRODUCT_PACKAGE_DESCRIPTION,ITEM_NET_WEIGHT,COMPANY_COUNTRY,STATE,ONHANDQTY,EXPIREDQTY,BLOCKEDQTY,INTRANSITQTY,ONPOQTY,SOOTHER,POOTHER,SUPPLYOP,Q_SO,Q_SB,N30D_SO,TOTAL_DEMAND,ITEM_GROUP,STOCKINGTYPE,INVENTORYTYPE,VENDOR_NAME,LOCAL_PRODUCTMANAGER_NAME,PRODUCT_PRINCIPAL_NAME,INVENTORY_OWNERSHIP,BUYER_NAME,COO,LEADTIME,SHELFLIFE,MIN_DAYS,MAX_DAYS,IDEAL_PIPELINE,LEADTIMELEVEL,SHELFLIFEDAYS,MOQ,PALLET_SIZE,UNITSPERCONTAINER,H_ADU,FCST_TOTAL,UNITCOST,PERCENTAGE,F_ADU,SOH_DC,INTRANSIT_DC,ONPO_DC,NAT_SOH_DC,NAT_INTRANSIT_DC,NAT_ONPO_DC,ROW_NET_POSITION,NAT_NET_POSITION,NAT_PIPELINE_DC,ROW_PIPELINE_DC,RAW_ORDER_QTY,ORDER_QTY,ORDER_DC,STOCK_STATUS,ORDER_AMOUNT,OVERSTOCK_VALUE
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,VIC,423000.000,0.000,20700.000,0.000,771300.000,117000.000,0.000,771300.000,324000.000,117000.000,171000.000,441000.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,18000.000,,18000,7641.97,10038.06,1.31,0.75,7546.13,30.65,0.00,102.21,37.84,0.00,89.12,732600.000,824400.000,126.96,132.86,0.00,0.0,0.0,Healthy,0.0,0.00
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,NSW,166500.000,0.000,900.000,0.000,108000.000,0.000,0.000,108000.000,157500.000,0.000,65700.000,193500.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,18000.000,,1,2009.08,10038.06,1.25,0.20,1983.88,50.36,0.00,54.44,37.84,0.00,89.12,116100.000,824400.000,126.96,104.80,89671.38,90000.0,45.37,Healthy,112500.0,0.00
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,WA,48600.000,0.000,0.000,0.000,15300.000,88200.000,0.000,15300.000,0.000,88200.000,0.000,88200.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,0.000,,1,514.50,10038.06,1.43,0.05,508.05,95.66,0.00,30.12,37.84,0.00,89.12,-24300.000,824400.000,126.96,125.78,0.00,0.0,0.0,Healthy,0.0,0.00
438546BMR,MODIFIED STARCH PREPARATION,900 kg big bag,900.0,Australia,NSW,276300.000,11700.000,5400.000,216000.000,324000.000,747900.000,0.000,540000.000,54000.000,477900.000,54000.000,801900.000,N1 - Non hazardous/Non dangerous,S,C,STARCH PRODUCTS CO. LTD ,TANYA HARVEY,STARCH PRODUCTS CO ,61123 - AU Food - Nutrition F&N,"HAN, THIRI",TH,75.00000,365.00000,0,0,0,75,365,18000.000,,1,7222.72,7155.37,1.85,1.00,7155.37,28.68,30.19,45.28,28.68,30.19,45.28,267300.000,267300.000,104.15,104.15,0.00,0.0,0.0,Overstock,0.0,494505.00
5040320VR,SURFACTANT AEO7,20000 KG ISOTANK (BLC),1.0,Australia,NSW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,C,"SHANGHAI BINJIA INDUSTRIAL CO., LTD ","NGUYEN, KEN",IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,60.00000,730.00000,0,0,0,60,730,20000.000,,1,1811.48,3884.46,3.08,1.00,3884.46,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,VIC,87000.000,0.000,0.000,0.000,90000.000,92001.000,0.000,90000.000,7000.000,92001.000,7000.000,99001.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,18000,1734.12,3582.25,3.46,0.52,1847.75,43.30,0.00,48.71,33.78,0.00,105.52,77999.000,296999.000,139.30,92.01,107151.02,108000.0,58.45,Healthy,373680.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,NSW,105000.000,0.000,0.000,0.000,216000.000,20000.000,0.000,216000.000,122000.000,20000.000,71000.000,143000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,1421.54,3582.25,3.79,0.42,1514.69,22.45,0.00,142.60,33.78,0.00,105.52,179000.000,296999.000,139.30,165.05,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,QLD,7000.000,0.000,0.000,0.000,18000.000,0.000,0.000,18000.000,3000.000,0.000,0.000,3000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,94.02,3582.25,2.81,0.03,100.18,69.87,0.00,179.68,33.78,0.00,105.52,22000.000,296999.000,139.30,249.55,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,SA,0.000,0.000,0.000,0.000,36000.000,36000.000,0.000,36000.000,0.000,36000.000,0.000,36000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,68.06,3582.25,2.43,0.02,72.52,0.00,0.00,496.41,33.78,0.00,105.52,0.000,296999.000,139.30,496.41,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,WA,0.000,0.000,0.000,0.000,18000.000,0.000,0.000,18000.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,0.000,,1,44.21,3582.25,2.75,0.01,47.11,0.00,0.00,382.08,33.78,0.00,105.52,18000.000,296999.000,139.30,382.08,0.00,0.0,0.0,Healthy,0.0,0.00
